Category	Gene
Developmental Biology	AGAP2
Developmental Biology	AGRN
Developmental Biology	AKT1
Developmental Biology	AKT2
Developmental Biology	AKT3
Developmental Biology	ALCAM
Developmental Biology	ANGPTL4
Developmental Biology	ANK1
Developmental Biology	ANK2
Developmental Biology	ANK3
Developmental Biology	AP2A1
Developmental Biology	AP2A2
Developmental Biology	AP2B1
Developmental Biology	AP2M1
Developmental Biology	AP2S1
Developmental Biology	ARHGAP35
Developmental Biology	ARHGAP39
Developmental Biology	ARHGEF11
Developmental Biology	ARHGEF12
Developmental Biology	ARTN
Developmental Biology	BNIP2
Developmental Biology	BOC
Developmental Biology	CACNA1C
Developmental Biology	CACNA1D
Developmental Biology	CACNA1F
Developmental Biology	CACNA1G
Developmental Biology	CACNA1H
Developmental Biology	CACNA1I
Developmental Biology	CACNA1S
Developmental Biology	CACNB1
Developmental Biology	CACNB2
Developmental Biology	CACNB3
Developmental Biology	CACNB4
Developmental Biology	CAP1
Developmental Biology	CAP2
Developmental Biology	CARM1
Developmental Biology	CCNC
Developmental Biology	CCND3
Developmental Biology	CD24
Developmental Biology	CD36
Developmental Biology	CD72
Developmental Biology	CDC42
Developmental Biology	CDH15
Diabetes pathways	ACADVL
Diabetes pathways	ACTB
Diabetes pathways	ADD1
Diabetes pathways	ARFGAP1
Diabetes pathways	ASNS
Diabetes pathways	ATF3
Diabetes pathways	ATF4
Diabetes pathways	ATF6
Diabetes pathways	ATP6V0D1
Diabetes pathways	BCHE
Diabetes pathways	C19orf10
Diabetes pathways	CALR
Diabetes pathways	CCL2
Diabetes pathways	CD44
Diabetes pathways	CPE
Diabetes pathways	CTDSP2
Diabetes pathways	CTSG
Diabetes pathways	CUL7
Diabetes pathways	CXXC1
Diabetes pathways	DCP2
Diabetes pathways	DCTN1
Diabetes pathways	DDIT3
Diabetes pathways	DDX11
Diabetes pathways	DIS3
Diabetes pathways	DNAJB11
Diabetes pathways	DNAJB9
Diabetes pathways	DNAJC3
Diabetes pathways	EDEM1
Diabetes pathways	EIF2AK3
Diabetes pathways	EIF2S1
Diabetes pathways	ERN1
Diabetes pathways	ERO1L
Diabetes pathways	EXOC1
Diabetes pathways	EXOC2
Diabetes pathways	EXOC3
Diabetes pathways	EXOC4
Diabetes pathways	EXOC5
Diabetes pathways	EXOC6
Diabetes pathways	EXOC7
Diabetes pathways	EXOC8
Diabetes pathways	EXOSC1
Diabetes pathways	EXOSC2
Diabetes pathways	EXOSC3
Diabetes pathways	EXOSC4
Diabetes pathways	EXOSC5
Diabetes pathways	EXOSC6
Diabetes pathways	EXOSC7
Diabetes pathways	EXOSC8
Diabetes pathways	EXOSC9
Diabetes pathways	EXTL3
Diabetes pathways	F2
Diabetes pathways	FKBP14
Diabetes pathways	GCG
Diabetes pathways	GFPT1
Diabetes pathways	GH1
Diabetes pathways	GHRL
Digestion of dietary carbohydrate	AMY1A
Digestion of dietary carbohydrate	AMY1B
Digestion of dietary carbohydrate	AMY2A
Digestion of dietary carbohydrate	AMY2B
Digestion of dietary carbohydrate	LCT
Digestion of dietary carbohydrate	MGAM
Digestion of dietary carbohydrate	SI
Digestion of dietary carbohydrate	TREH
Digestion of dietary lipid	CEL
Digestion of dietary lipid	CLPS
Digestion of dietary lipid	PNLIP
Digestion of dietary lipid	PNLIPRP2
Disease	AAAS
Disease	ACADVL
Disease	ACTB
Disease	ADAM10
Disease	ADAM12
Disease	ADAM17
Disease	ADCY1
Disease	ADCY2
Disease	ADCY3
Disease	ADCY4
Disease	ADCY5
Disease	ADCY6
Disease	ADCY7
Disease	ADCY8
Disease	ADCY9
Disease	ADD1
Disease	ADRBK1
Disease	AKT1
Disease	AKT1S1
Disease	AKT2
Disease	AKT3
Disease	AP1B1
Disease	AP1G1
Disease	AP1M1
Disease	AP1M2
Disease	AP1S1
Disease	AP1S2
Disease	AP1S3
Disease	AP2A1
Disease	AP2A2
Disease	AP2B1
Disease	AP2M1
Disease	AP2S1
Disease	APCS
Disease	APOA1
Disease	APOA4
Disease	APOBEC3G
Disease	APP
Disease	ARF1
Disease	ARFGAP1
Disease	ARHGEF7
Disease	ASNS
Disease	ATF3
Disease	ATF4
Disease	ATF6
Disease	ATP6V0D1
Disease	ATP6V1H
Disease	B2M
Disease	BAD
Disease	BANF1
Disease	BCHE
Disease	BTRC
Disease	C19orf10
Disease	CALCA
Disease	CALM1
Disease	CALR
Disinhibition of SNARE formation	PRKCA
Disinhibition of SNARE formation	PRKCB
Disinhibition of SNARE formation	PRKCG
Disinhibition of SNARE formation	STX4
Disinhibition of SNARE formation	STXBP3
Displacement of DNA glycosylase by  APE1	APEX1
Displacement of DNA glycosylase by  APE1	CCNO
Displacement of DNA glycosylase by  APE1	MBD4
Displacement of DNA glycosylase by  APE1	MPG
Displacement of DNA glycosylase by  APE1	MUTYH
Displacement of DNA glycosylase by  APE1	NTHL1
Displacement of DNA glycosylase by  APE1	OGG1
Displacement of DNA glycosylase by  APE1	SMUG1
Displacement of DNA glycosylase by  APE1	TDG
Dissolution of Fibrin Clot	HRG
Dissolution of Fibrin Clot	PLAT
Dissolution of Fibrin Clot	PLAU
Dissolution of Fibrin Clot	PLAUR
Dissolution of Fibrin Clot	PLG
Dissolution of Fibrin Clot	SERPINB2
Dissolution of Fibrin Clot	SERPINE1
Dissolution of Fibrin Clot	SERPINF2
Dopamine Neurotransmitter Release Cycle	CPLX1
Dopamine Neurotransmitter Release Cycle	RAB3A
Dopamine Neurotransmitter Release Cycle	RIMS1
Dopamine Neurotransmitter Release Cycle	SLC18A2
Dopamine Neurotransmitter Release Cycle	SNAP25
Dopamine Neurotransmitter Release Cycle	STX1A
Dopamine Neurotransmitter Release Cycle	STXBP1
Dopamine Neurotransmitter Release Cycle	SYN1
Dopamine Neurotransmitter Release Cycle	SYN2
Dopamine Neurotransmitter Release Cycle	SYN3
Dopamine Neurotransmitter Release Cycle	SYT1
Dopamine Neurotransmitter Release Cycle	VAMP2
Dopamine clearance from the synaptic cleft	COMT
Dopamine clearance from the synaptic cleft	MAOA
Dopamine clearance from the synaptic cleft	SLC6A3
Dopamine receptors	DRD1
Dopamine receptors	DRD2
Dopamine receptors	DRD3
Dopamine receptors	DRD4
Dopamine receptors	DRD5
Double-Strand Break Repair	ATM
Double-Strand Break Repair	BRCA1
Double-Strand Break Repair	BRCA2
Double-Strand Break Repair	BRIP1
Double-Strand Break Repair	H2AFX
Double-Strand Break Repair	LIG1
Double-Strand Break Repair	LIG4
Double-Strand Break Repair	MDC1
Double-Strand Break Repair	MRE11A
Double-Strand Break Repair	NBN
Double-Strand Break Repair	PRKDC
Double-Strand Break Repair	RAD50
Double-Strand Break Repair	RAD51
Double-Strand Break Repair	RAD52
Double-Strand Break Repair	RPA1
Double-Strand Break Repair	RPA2
Double-Strand Break Repair	RPA3
Double-Strand Break Repair	TDP1
Double-Strand Break Repair	TP53BP1
Double-Strand Break Repair	XRCC4
Double-Strand Break Repair	XRCC5
Double-Strand Break Repair	XRCC6
Downregulation of ERBB4 signaling	ERBB4
Downregulation of ERBB4 signaling	ITCH
Downregulation of ERBB4 signaling	NEDD4
Downregulation of ERBB4 signaling	RPS27A
Downregulation of ERBB4 signaling	UBA52
Downregulation of ERBB4 signaling	UBB
Downregulation of ERBB4 signaling	UBC
Downregulation of ERBB4 signaling	WWP1
Downregulation of ERRB2:ERBB3 signaling	AKT1
Downregulation of ERRB2:ERBB3 signaling	AKT2
Downregulation of ERRB2:ERBB3 signaling	AKT3
Downregulation of ERRB2:ERBB3 signaling	ERBB2
Downregulation of ERRB2:ERBB3 signaling	ERBB3
Downregulation of ERRB2:ERBB3 signaling	NRG1
Downregulation of ERRB2:ERBB3 signaling	NRG2
Downregulation of ERRB2:ERBB3 signaling	RNF41
Downregulation of ERRB2:ERBB3 signaling	RPS27A
Downregulation of ERRB2:ERBB3 signaling	UBA52
Downregulation of ERRB2:ERBB3 signaling	UBB
Downregulation of ERRB2:ERBB3 signaling	UBC
Downregulation of ERRB2:ERBB3 signaling	USP8
Downstream Signaling Events Of B Cell Receptor (BCR)	AKT1
Downstream Signaling Events Of B Cell Receptor (BCR)	AKT1S1
Downstream Signaling Events Of B Cell Receptor (BCR)	AKT2
Downstream Signaling Events Of B Cell Receptor (BCR)	AKT3
Downstream Signaling Events Of B Cell Receptor (BCR)	BAD
Downstream Signaling Events Of B Cell Receptor (BCR)	BCL10
Downstream Signaling Events Of B Cell Receptor (BCR)	BTRC
Downstream Signaling Events Of B Cell Receptor (BCR)	CARD11
Downstream Signaling Events Of B Cell Receptor (BCR)	CASP9
Downstream Signaling Events Of B Cell Receptor (BCR)	CDKN1A
Downstream Signaling Events Of B Cell Receptor (BCR)	CDKN1B
Downstream Signaling Events Of B Cell Receptor (BCR)	CHUK
Downstream Signaling Events Of B Cell Receptor (BCR)	CREB1
Downstream Signaling Events Of B Cell Receptor (BCR)	CUL1
Downstream Signaling Events Of B Cell Receptor (BCR)	FBXW11
Downstream Signaling Events Of B Cell Receptor (BCR)	FOXO1
Downstream Signaling Events Of B Cell Receptor (BCR)	FOXO3
Downstream Signaling Events Of B Cell Receptor (BCR)	FOXO4
Downstream Signaling Events Of B Cell Receptor (BCR)	GSK3A
Downstream Signaling Events Of B Cell Receptor (BCR)	GSK3B
Downstream Signaling Events Of B Cell Receptor (BCR)	HRAS
Downstream Signaling Events Of B Cell Receptor (BCR)	IKBKB
Downstream Signaling Events Of B Cell Receptor (BCR)	IKBKG
Downstream Signaling Events Of B Cell Receptor (BCR)	KRAS
Downstream Signaling Events Of B Cell Receptor (BCR)	MALT1
Downstream Signaling Events Of B Cell Receptor (BCR)	MAP3K7
Downstream Signaling Events Of B Cell Receptor (BCR)	MAPKAP1
Downstream Signaling Events Of B Cell Receptor (BCR)	MDM2
Downstream Signaling Events Of B Cell Receptor (BCR)	MLST8
Downstream Signaling Events Of B Cell Receptor (BCR)	MTOR
Downstream Signaling Events Of B Cell Receptor (BCR)	NFKB1
Downstream Signaling Events Of B Cell Receptor (BCR)	NFKBIA
Downstream Signaling Events Of B Cell Receptor (BCR)	NFKBIB
Downstream Signaling Events Of B Cell Receptor (BCR)	NFKBIE
Downstream Signaling Events Of B Cell Receptor (BCR)	NR4A1
Downstream Signaling Events Of B Cell Receptor (BCR)	NRAS
Downstream Signaling Events Of B Cell Receptor (BCR)	PDPK1
Downstream Signaling Events Of B Cell Receptor (BCR)	PHLPP1
Downstream Signaling Events Of B Cell Receptor (BCR)	PRKCB
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMA1
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMA2
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMA3
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMA4
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMA5
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMA6
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMA7
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMA8
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMB1
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMB10
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMB11
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMB2
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMB3
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMB4
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMB5
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMB6
Downstream Signaling Events Of B Cell Receptor (BCR)	PSMB7
Downstream TCR signaling	BCL10
Downstream TCR signaling	CARD11
Downstream TCR signaling	CD247
Downstream TCR signaling	CD3D
Downstream TCR signaling	CD3E
Downstream TCR signaling	CD3G
Downstream TCR signaling	CD4
Downstream TCR signaling	CHUK
Downstream TCR signaling	HLA-DMA
Downstream TCR signaling	HLA-DMB
Downstream TCR signaling	HLA-DOA
Downstream TCR signaling	HLA-DOB
Downstream TCR signaling	HLA-DPA1
Downstream TCR signaling	HLA-DPB1
Downstream TCR signaling	HLA-DQA1
Downstream TCR signaling	HLA-DQA2
Downstream TCR signaling	HLA-DQB1
Downstream TCR signaling	HLA-DQB2
Downstream TCR signaling	HLA-DRA
Downstream TCR signaling	HLA-DRB1
Downstream TCR signaling	HLA-DRB3
Downstream TCR signaling	HLA-DRB4
Downstream TCR signaling	HLA-DRB5
Downstream TCR signaling	IKBKB
Downstream TCR signaling	IKBKG
Downstream TCR signaling	INPP5D
Downstream TCR signaling	LCK
Downstream TCR signaling	MALT1
Downstream TCR signaling	MAP3K7
Downstream TCR signaling	NFKB1
Downstream TCR signaling	NFKBIA
Downstream TCR signaling	PDPK1
Downstream TCR signaling	PIK3CA
Downstream TCR signaling	PIK3CB
Downstream TCR signaling	PIK3R1
Downstream TCR signaling	PIK3R2
Downstream TCR signaling	PRKCQ
Downstream TCR signaling	PTEN
Downstream TCR signaling	RELA
Downstream TCR signaling	RIPK2
Downstream TCR signaling	TAB2
Downstream TCR signaling	TCRA
Downstream TCR signaling	TCRB
Downstream TCR signaling	TRAC
Downstream TCR signaling	TRAF6
Downstream TCR signaling	TRAT1
Downstream TCR signaling	TRAV19
Downstream TCR signaling	TRAV8-4
Downstream TCR signaling	TRBC1
Downstream TCR signaling	TRBV12-3
Downstream TCR signaling	UBE2N
Downstream signal transduction	ADCY1
Downstream signal transduction	ADCY2
Downstream signal transduction	ADCY3
Downstream signal transduction	ADCY4
Downstream signal transduction	ADCY5
Downstream signal transduction	ADCY6
Downstream signal transduction	ADCY7
Downstream signal transduction	ADCY8
Downstream signal transduction	ADCY9
Downstream signal transduction	ADRBK1
Downstream signal transduction	AKT1
Downstream signal transduction	AKT1S1
Downstream signal transduction	AKT2
Downstream signal transduction	AKT3
Downstream signal transduction	BAD
Downstream signal transduction	BCAR1
Downstream signal transduction	CALM1
Downstream signal transduction	CAMK4
Downstream signal transduction	CASP9
Downstream signal transduction	CDK1
Downstream signal transduction	CDKN1A
Downstream signal transduction	CDKN1B
Downstream signal transduction	CHUK
Downstream signal transduction	CREB1
Downstream signal transduction	CRK
Downstream signal transduction	CRKL
Downstream signal transduction	FOXO1
Downstream signal transduction	FOXO3
Downstream signal transduction	FOXO4
Downstream signal transduction	GRB2
Downstream signal transduction	GRB7
Downstream signal transduction	GSK3A
Downstream signal transduction	GSK3B
Downstream signal transduction	HRAS
Downstream signal transduction	ITPR1
Downstream signal transduction	ITPR2
Downstream signal transduction	ITPR3
Downstream signal transduction	KRAS
Downstream signal transduction	MAP2K1
Downstream signal transduction	MAP2K2
Downstream signal transduction	MAPK1
Downstream signal transduction	MAPK3
Downstream signal transduction	MAPKAP1
Downstream signal transduction	MDM2
Downstream signal transduction	MLST8
Downstream signal transduction	MTOR
Downstream signal transduction	NCK1
Downstream signal transduction	NCK2
Downstream signal transduction	NR4A1
Downstream signal transduction	NRAS
Downstream signal transduction	PDE1A
Downstream signal transduction	PDE1B
Downstream signal transduction	PDE1C
Downstream signal transduction	PDGFA
Downstream signal transduction	PDGFB
Downstream signal transduction	PDGFRA
Downstream signal transduction	PDGFRB
Downstream signaling of activated FGFR	ADCY1
Downstream signaling of activated FGFR	ADCY2
Downstream signaling of activated FGFR	ADCY3
Downstream signaling of activated FGFR	ADCY4
Downstream signaling of activated FGFR	ADCY5
Downstream signaling of activated FGFR	ADCY6
Downstream signaling of activated FGFR	ADCY7
Downstream signaling of activated FGFR	ADCY8
Downstream signaling of activated FGFR	ADCY9
Downstream signaling of activated FGFR	ADRBK1
Downstream signaling of activated FGFR	AKT1
Downstream signaling of activated FGFR	AKT1S1
Downstream signaling of activated FGFR	AKT2
Downstream signaling of activated FGFR	AKT3
Downstream signaling of activated FGFR	BAD
Downstream signaling of activated FGFR	CALM1
Downstream signaling of activated FGFR	CAMK4
Downstream signaling of activated FGFR	CASP9
Downstream signaling of activated FGFR	CDK1
Downstream signaling of activated FGFR	CDKN1A
Downstream signaling of activated FGFR	CDKN1B
Downstream signaling of activated FGFR	CHUK
Downstream signaling of activated FGFR	CREB1
Downstream signaling of activated FGFR	FGF1
Downstream signaling of activated FGFR	FGF10
Downstream signaling of activated FGFR	FGF16
Downstream signaling of activated FGFR	FGF17
Downstream signaling of activated FGFR	FGF18
Downstream signaling of activated FGFR	FGF19
Downstream signaling of activated FGFR	FGF2
Downstream signaling of activated FGFR	FGF20
Downstream signaling of activated FGFR	FGF22
Downstream signaling of activated FGFR	FGF23
Downstream signaling of activated FGFR	FGF3
Downstream signaling of activated FGFR	FGF4
Downstream signaling of activated FGFR	FGF5
Downstream signaling of activated FGFR	FGF6
Downstream signaling of activated FGFR	FGF7
Downstream signaling of activated FGFR	FGF8
Downstream signaling of activated FGFR	FGF9
Downstream signaling of activated FGFR	FGFR1
Downstream signaling of activated FGFR	FGFR2
Downstream signaling of activated FGFR	FGFR3
Downstream signaling of activated FGFR	FGFR4
Downstream signaling of activated FGFR	FOXO1
Downstream signaling of activated FGFR	FOXO3
Downstream signaling of activated FGFR	FOXO4
Downstream signaling of activated FGFR	FRS2
Downstream signaling of activated FGFR	FRS3
Downstream signaling of activated FGFR	GAB1
Downstream signaling of activated FGFR	GRB2
Downstream signaling of activated FGFR	GSK3A
Downstream signaling of activated FGFR	GSK3B
Downstream signaling of activated FGFR	HRAS
Downstream signaling of activated FGFR	ITPR1
Downstream signaling of activated FGFR	ITPR2
Downstream signaling of activated FGFR	ITPR3
Downstream signaling of activated FGFR	KL
Dual incision reaction in GG-NER	CCNH
Dual incision reaction in GG-NER	CDK7
Dual incision reaction in GG-NER	DDB1
Dual incision reaction in GG-NER	DDB2
Dual incision reaction in GG-NER	ERCC1
Dual incision reaction in GG-NER	ERCC2
Dual incision reaction in GG-NER	ERCC3
Dual incision reaction in GG-NER	ERCC4
Dual incision reaction in GG-NER	ERCC5
Dual incision reaction in GG-NER	GTF2H1
Dual incision reaction in GG-NER	GTF2H2
Dual incision reaction in GG-NER	GTF2H3
Dual incision reaction in GG-NER	GTF2H4
Dual incision reaction in GG-NER	MNAT1
Dual incision reaction in GG-NER	RAD23B
Dual incision reaction in GG-NER	RPA1
Dual incision reaction in GG-NER	RPA2
Dual incision reaction in GG-NER	RPA3
Dual incision reaction in GG-NER	XPA
Dual incision reaction in GG-NER	XPC
Dual incision reaction in TC-NER	CCNH
Dual incision reaction in TC-NER	CDK7
Dual incision reaction in TC-NER	ERCC1
Dual incision reaction in TC-NER	ERCC2
Dual incision reaction in TC-NER	ERCC3
Dual incision reaction in TC-NER	ERCC4
Dual incision reaction in TC-NER	ERCC5
Dual incision reaction in TC-NER	ERCC6
Dual incision reaction in TC-NER	ERCC8
Dual incision reaction in TC-NER	GTF2H1
Dual incision reaction in TC-NER	GTF2H2
Dual incision reaction in TC-NER	GTF2H3
Dual incision reaction in TC-NER	GTF2H4
Dual incision reaction in TC-NER	MNAT1
Dual incision reaction in TC-NER	POLR2A
Dual incision reaction in TC-NER	POLR2B
Dual incision reaction in TC-NER	POLR2C
Dual incision reaction in TC-NER	POLR2D
Dual incision reaction in TC-NER	POLR2E
Dual incision reaction in TC-NER	POLR2F
Dual incision reaction in TC-NER	POLR2G
Dual incision reaction in TC-NER	POLR2H
Dual incision reaction in TC-NER	POLR2I
Dual incision reaction in TC-NER	POLR2J
Dual incision reaction in TC-NER	POLR2K
Dual incision reaction in TC-NER	POLR2L
Dual incision reaction in TC-NER	TCEA1
Dual incision reaction in TC-NER	XAB2
E2F mediated regulation of DNA replication	CCNA1
E2F mediated regulation of DNA replication	CCNB1
E2F mediated regulation of DNA replication	CCNE1
E2F mediated regulation of DNA replication	CDC25A
E2F mediated regulation of DNA replication	CDC45
E2F mediated regulation of DNA replication	CDC6
E2F mediated regulation of DNA replication	CDK1
E2F mediated regulation of DNA replication	CDT1
E2F mediated regulation of DNA replication	DHFR
E2F mediated regulation of DNA replication	E2F1
E2F mediated regulation of DNA replication	FBXO5
E2F mediated regulation of DNA replication	MCM8
E2F mediated regulation of DNA replication	ORC1
E2F mediated regulation of DNA replication	ORC2
E2F mediated regulation of DNA replication	ORC3
E2F mediated regulation of DNA replication	ORC4
E2F mediated regulation of DNA replication	ORC5
E2F mediated regulation of DNA replication	ORC6
E2F mediated regulation of DNA replication	PCNA
E2F mediated regulation of DNA replication	POLA1
E2F mediated regulation of DNA replication	POLA2
E2F mediated regulation of DNA replication	PPP2CA
E2F mediated regulation of DNA replication	PPP2CB
E2F mediated regulation of DNA replication	PPP2R1A
E2F mediated regulation of DNA replication	PPP2R1B
E2F mediated regulation of DNA replication	PPP2R3B
E2F mediated regulation of DNA replication	PRIM1
E2F mediated regulation of DNA replication	PRIM2
E2F mediated regulation of DNA replication	RB1
E2F mediated regulation of DNA replication	RRM2
E2F mediated regulation of DNA replication	TFDP1
E2F mediated regulation of DNA replication	TK2
E2F mediated regulation of DNA replication	TYMS
E2F-enabled inhibition of pre-replication complex formation	CCNB1
E2F-enabled inhibition of pre-replication complex formation	CDC25A
E2F-enabled inhibition of pre-replication complex formation	CDK1
E2F-enabled inhibition of pre-replication complex formation	MCM8
E2F-enabled inhibition of pre-replication complex formation	ORC1
E2F-enabled inhibition of pre-replication complex formation	ORC2
E2F-enabled inhibition of pre-replication complex formation	ORC3
E2F-enabled inhibition of pre-replication complex formation	ORC4
E2F-enabled inhibition of pre-replication complex formation	ORC5
E2F-enabled inhibition of pre-replication complex formation	ORC6
EGFR downregulation	AP2A1
EGFR downregulation	AP2A2
EGFR downregulation	AP2B1
EGFR downregulation	AP2M1
EGFR downregulation	AP2S1
EGFR downregulation	ARHGEF7
EGFR downregulation	CBL
EGFR downregulation	CDC42
EGFR downregulation	CLTA
EGFR downregulation	CLTC
EGFR downregulation	EGF
EGFR downregulation	EGFR
EGFR downregulation	EPN1
EGFR downregulation	EPS15
EGFR downregulation	EPS15L1
EGFR downregulation	GRB2
EGFR downregulation	HGS
EGFR downregulation	RPS27A
EGFR downregulation	SH3GL2
EGFR downregulation	SH3KBP1
EGFR downregulation	SPRY1
EGFR downregulation	SPRY2
EGFR downregulation	STAM
EGFR downregulation	STAM2
EGFR downregulation	UBA52
EGFR downregulation	UBB
EGFR downregulation	UBC
EGFR interacts with phospholipase C-gamma	ADCY1
EGFR interacts with phospholipase C-gamma	ADCY2
EGFR interacts with phospholipase C-gamma	ADCY3
EGFR interacts with phospholipase C-gamma	ADCY4
EGFR interacts with phospholipase C-gamma	ADCY5
EGFR interacts with phospholipase C-gamma	ADCY6
EGFR interacts with phospholipase C-gamma	ADCY7
EGFR interacts with phospholipase C-gamma	ADCY8
EGFR interacts with phospholipase C-gamma	ADCY9
EGFR interacts with phospholipase C-gamma	ADRBK1
EGFR interacts with phospholipase C-gamma	CALM1
EGFR interacts with phospholipase C-gamma	CAMK4
EGFR interacts with phospholipase C-gamma	CREB1
EGFR interacts with phospholipase C-gamma	EGF
EGFR interacts with phospholipase C-gamma	EGFR
EGFR interacts with phospholipase C-gamma	ITPR1
EGFR interacts with phospholipase C-gamma	ITPR2
EGFR interacts with phospholipase C-gamma	ITPR3
EGFR interacts with phospholipase C-gamma	PDE1A
EGFR interacts with phospholipase C-gamma	PDE1B
EGFR interacts with phospholipase C-gamma	PDE1C
EGFR interacts with phospholipase C-gamma	PLCG1
EGFR interacts with phospholipase C-gamma	PRKACA
EGFR interacts with phospholipase C-gamma	PRKACB
EGFR interacts with phospholipase C-gamma	PRKACG
EGFR interacts with phospholipase C-gamma	PRKAR1A
EGFR interacts with phospholipase C-gamma	PRKAR1B
EGFR interacts with phospholipase C-gamma	PRKAR2A
EGFR interacts with phospholipase C-gamma	PRKAR2B
EGFR interacts with phospholipase C-gamma	PRKCA
EGFR interacts with phospholipase C-gamma	PRKCD
EGFR interacts with phospholipase C-gamma	PRKCE
EGFR interacts with phospholipase C-gamma	PRKCG
ER Quality Control Compartment (ERQC)	EDEM1
ER Quality Control Compartment (ERQC)	EDEM2
ER Quality Control Compartment (ERQC)	EDEM3
ER Quality Control Compartment (ERQC)	MAN1B1
ER Quality Control Compartment (ERQC)	UGGT1
ER Quality Control Compartment (ERQC)	UGGT2
ER to Golgi Transport	PREB
ER to Golgi Transport	SAR1B
ER to Golgi Transport	SEC13
ER to Golgi Transport	SEC23A
ER to Golgi Transport	SEC24A
ER to Golgi Transport	SEC24B
ER to Golgi Transport	SEC24C
ER to Golgi Transport	SEC24D
ER to Golgi Transport	SEC31A
ER-Phagosome pathway	B2M
ER-Phagosome pathway	CALR
ER-Phagosome pathway	HLA-A
ER-Phagosome pathway	HLA-B
ER-Phagosome pathway	HLA-C
ER-Phagosome pathway	HLA-E
ER-Phagosome pathway	HLA-F
ER-Phagosome pathway	HLA-G
ER-Phagosome pathway	PDIA3
ER-Phagosome pathway	PSMA1
ER-Phagosome pathway	PSMA2
ER-Phagosome pathway	PSMA3
ER-Phagosome pathway	PSMA4
ER-Phagosome pathway	PSMA5
ER-Phagosome pathway	PSMA6
ER-Phagosome pathway	PSMA7
ER-Phagosome pathway	PSMA8
ER-Phagosome pathway	PSMB1
ER-Phagosome pathway	PSMB10
ER-Phagosome pathway	PSMB11
ER-Phagosome pathway	PSMB2
ER-Phagosome pathway	PSMB3
ER-Phagosome pathway	PSMB4
ER-Phagosome pathway	PSMB5
ER-Phagosome pathway	PSMB6
ER-Phagosome pathway	PSMB7
ER-Phagosome pathway	PSMB8
ER-Phagosome pathway	PSMB9
ER-Phagosome pathway	PSMC1
ER-Phagosome pathway	PSMC2
ER-Phagosome pathway	PSMC3
ER-Phagosome pathway	PSMC4
ER-Phagosome pathway	PSMC5
ER-Phagosome pathway	PSMC6
ER-Phagosome pathway	PSMD1
ER-Phagosome pathway	PSMD10
ER-Phagosome pathway	PSMD11
ER-Phagosome pathway	PSMD12
ER-Phagosome pathway	PSMD13
ER-Phagosome pathway	PSMD14
ER-Phagosome pathway	PSMD2
ER-Phagosome pathway	PSMD3
ER-Phagosome pathway	PSMD4
ER-Phagosome pathway	PSMD5
ER-Phagosome pathway	PSMD6
ER-Phagosome pathway	PSMD7
ER-Phagosome pathway	PSMD8
ER-Phagosome pathway	PSMD9
ER-Phagosome pathway	PSME1
ER-Phagosome pathway	PSME2
ER-Phagosome pathway	PSME3
ER-Phagosome pathway	PSME4
ER-Phagosome pathway	PSMF1
ER-Phagosome pathway	RPS27A
ER-Phagosome pathway	SEC61A1
ERK activation	CDK1
ERK activation	MAP2K1
ERK activation	MAP2K2
ERK activation	MAPK1
ERK activation	MAPK3
ERK/MAPK targets	DUSP3
ERK/MAPK targets	DUSP4
ERK/MAPK targets	DUSP6
ERK/MAPK targets	DUSP7
ERK/MAPK targets	ELK1
ERK/MAPK targets	MAPK1
ERK/MAPK targets	MAPK11
ERK/MAPK targets	MAPK14
ERK/MAPK targets	MAPK3
ERK/MAPK targets	MAPK7
ERK/MAPK targets	MEF2A
ERK/MAPK targets	MEF2C
ERK/MAPK targets	PPP2CA
ERK/MAPK targets	PPP2CB
ERK/MAPK targets	PPP2R1A
ERK/MAPK targets	PPP2R1B
ERK/MAPK targets	PPP2R5D
ERK/MAPK targets	RPS6KA1
ERK/MAPK targets	RPS6KA2
ERK/MAPK targets	RPS6KA3
ERK/MAPK targets	RPS6KA5
ERK1 activation	CDK1
ERK1 activation	MAP2K1
ERK1 activation	MAPK3
ERK2 activation	MAP2K2
ERK2 activation	MAPK1
ERKs are inactivated	DUSP3
ERKs are inactivated	DUSP4
ERKs are inactivated	DUSP6
ERKs are inactivated	DUSP7
ERKs are inactivated	MAPK1
ERKs are inactivated	MAPK3
ERKs are inactivated	MAPK7
ERKs are inactivated	PPP2CA
ERKs are inactivated	PPP2CB
ERKs are inactivated	PPP2R1A
ERKs are inactivated	PPP2R1B
ERKs are inactivated	PPP2R5D
